Town,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11
Aosta,5,9,11,10,11,7,12
Bolzano,28,13,24,21,24,23,33
Torino,176,183,171,173,190,208,230
Milano,239,231,231,243,245,337,437
Brescia,42,35,40,28,48,84,89
Verona,60,36,48,44,51,49,54
Venezia,64,53,56,66,79,69,60
Bologna,85,76,88,98,85,82,94
Genova,144,169,163,128,152,211,288
Perugia,43,32,35,34,45,36,34
Civitavecchia,7,12,8,5,7,13,17
Roma,484,506,452,480,482,487,527
Bari,57,63,53,56,74,78,54
Potenza,7,12,8,12,16,8,18
Messina,53,48,65,56,50,49,61
Palermo,125,152,126,145,133,149,124
